TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
160148385,247.01,,4,5,5,5,5,4,5,,PC,KP,11.9116,0.006,,1,spoc,04:11.2,-47:21:38.29,25.582,0.039,2.334,0.038,2458354.32,.000573.0,3.425239,0.000133,2.44683,0.042511,15.778205,0.210164,14427.18012,14427.18012,13.569362,0.169723,451.837404,1175.886202,75.9552,352.464,4.6845,5560,128.758,4.33354,0.0769555,1.11655,0.0589196,2,11/16/18 21:15,9/12/19 16:42,WASP-96
201793781,248.01,,1,5,5,1,2,4,4,,PC,,8.4642,0.006,,1,spoc,18:44.2,-54:51:35.01,93.532,0.04,12.894,0.038,2458354.836,.001932.0,5.991198,0.000404,3.462171,0.240267,0.541136,0.036379,498.280389,498.280389,2.823531,0.699897,654.302141,1289.924629,12.305868,75.9529,0.1409,5711.7,116.054,4.34708,0.0717352,1.12148,0.0520603,"2,3",11/16/18 21:15,6/13/19 4:18,known TOI
179985715,249.01,,1,4,1,2,2,4,4,,PC,,11.2738,0.006,,1,spoc,56:19.2,-38:56:57.24,-71.222,0.041,-122.939,0.041,2458359.54,.004044.0,6.613147,0.002144,2.248344,0.601013,1.548004,0.184536,1424.748364,1424.748364,2.616461,1.848253,34.137215,616.491044,8.842849,70.6272,0.15645,4047,122.605,4.67617,0.118816,0.603418,0.0595176,2,11/16/18 21:15,7/31/19 10:32,centroid offset not significant.
184240683,250.01,,4,5,5,5,5,4,5,,PC,KP,11.5464,0.006,,1,spoc,57:23.8,-41:16:37.99,7.33,0.04,-15.944,0.046,2458355.508,.000305.0,1.628393,0.000034,2.376132,0.027347,15.089949,0.12088,13802.22023,13802.22023,12.182142,0.140212,1402.845878,1560.889789,121.83825,309.137,3.3775,5735.75,116.114,4.36856,0.0769923,1.0941,0.0543568,2,11/16/18 21:15,9/12/19 16:42,WASP-5
224225541,251.01,,3,5,5,4,2,3,4,,PC,,9.3258,0.006,,1,spoc,32:14.9,-37:15:21.11,44.639,0.074,1.902,0.07,2458357.306,.001781.0,4.937712,0.000733,2.196239,0.334344,0.996243,0.085826,917.152864,917.152864,2.931246,1.206266,278.520258,1041.918974,10.939553,99.523,0.4355,5789,119.174,4.49441,0.0736069,0.955756,0.0449473,2,11/16/18 21:15,8/28/19 12:00,centroid shift not significant.
237924601,252.01,,3,4,3,3,2,4,4,,PC,,11.7497,0.006,,1,spoc,50:12.9,-63:03:14.11,-7.2,6.1,-27.8,5.5,2458354.72,.000731.0,1.002192,0.000028,0.633253,0.247183,2.056282,0.160734,1892.113763,1892.113763,3.90427,5.327671,1315.157827,1535.904518,13.430404,190.596,,5071,,,,0.874822,,"2,3",11/16/18 21:15,6/17/19 14:58,known TOI
322063810,253.01,,2,5,5,2,2,4,4,,PC,,9.3626,0.006,,1,spoc,57:16.4,-51:35:06.9,102.655,0.049,-141.13,0.041,2458355.613,.004283.0,3.515816,0.001043,2.001291,0.327831,0.335757,0.046707,309.195421,309.195421,1.125571,1.62929,85.438976,775.414216,7.196484,30.8431,0.0281,4037,124.978,4.6259,0.115821,0.639371,0.0657085,2,11/16/18 21:15,8/20/19 12:00,There is another star in the same pixel. Centroid offset is not significant.
49687222,254.01,,4,5,5,4,5,4,4,,PC,FP,9.8343,0.006,,1,spoc,26:49.3,-11:43:32.06,-27.594,2.012,-46.011,1.058,2458360.073,.002667.0,20.186539,0.003807,1.866565,0.909295,1.092846,0.156001,1006.041833,1006.041833,3.283981,4.520391,55.743317,696.895969,8.446979,133.3143,,6101,,,,1.01859,,2,11/16/18 21:15,9/24/19 16:34,The transit shape looks asymmetric but it is not near known systematics; recommend to confirm signal on target before follow up.
204317710,255.01,,4,5,5,5,5,4,5,,PC,KP,13.7426,0.007,,1,spoc,04:18.0,-21:16:19.26,-1.425,0.048,-20.118,0.048,2458355.983,.001755.0,2.812077,0.000324,2.856534,0.146208,16.728148,0.657101,15289.11022,15289.11022,13.712919,0.671681,705.25026,1314.333457,19.77157,745.116,17.117,5667,122,4.43411,,1.00957,,2,11/16/18 21:15,9/12/19 16:42,HATS-32
92226327,256.01,,5,5,5,5,5,5,5,,PC,KP,11.2991,0.007,,2,spoc,44:59.7,-15:16:26.79,317.585,0.121,-596.617,0.085,2458389.285,.002133.0,24.73712,0.00025,1.958295,0.190383,4.448487,0.391422,4088.825398,4088.825398,1.369367,0.100452,1.226056,268.378264,12.301941,14.9861,0.01525,3166,157,5.03724,0.0210634,0.215535,0.00655817,3,11/30/18 22:06,9/12/19 16:42,LHS-1140b
