time,time,flux,flux_err
1468.2742617985746,1468.2742617985746,137683.33,43.55817
1468.2756507236782,1468.2756507236782,137741.16,43.51208
1468.2770396487815,1468.2770396487815,137716.88,43.53667
1468.2784285738849,1468.2784285738849,137838.9,43.519375
1468.2798174987556,1468.2798174987556,137721.08,43.52051
1468.2812064238587,1468.2812064238587,137694.75,43.510983
1468.2825953489628,1468.2825953489628,137725.88,43.51284
1468.2839842740668,1468.2839842740668,137718.75,43.534718
1468.285373199169,1468.285373199169,137725.66,43.507027
1468.2867621242724,1468.2867621242724,137778.16,43.533203
1468.2881510491434,1468.2881510491434,137706.84,43.518513
1468.2895399742465,1468.2895399742465,137728.64,43.511753
1468.2909288993499,1468.2909288993499,137756.86,43.527416
1468.2923178244537,1468.2923178244537,137711.33,43.553715
1468.2937067495577,1468.2937067495577,137763.25,43.516087
1468.295095674428,1468.295095674428,137663.06,43.503815
1468.2964845995311,1468.2964845995311,137803.33,43.519413
1468.2978735246352,1468.2978735246352,137761.23,43.543884
1468.2992624497383,1468.2992624497383,137715.78,43.518734
1468.3006513746086,1468.3006513746086,137751.38,43.528187
1468.3020402997126,1468.3020402997126,137784.8,43.530735
1468.3034292248158,1468.3034292248158,137698.06,43.51647
1468.3048181496868,1468.3048181496868,137710.73,43.512455
1468.3062070747906,1468.3062070747906,137655.8,43.504322
1468.3075959998932,1468.3075959998932,137720.34,43.508957
1468.308984924997,1468.308984924997,137717.58,43.5125
1468.310373849868,1468.310373849868,137862.98,43.53981
1468.3117627749707,1468.3117627749707,137797.16,43.524403
1468.3131516998415,1468.3131516998415,137726.17,43.51313
1468.3145406249455,1468.3145406249455,137721.83,43.521885
1468.3159295500486,1468.3159295500486,137674.3,43.502876
1468.317318474919,1468.317318474919,137712.25,43.513283
1468.3187074000223,1468.3187074000223,137825.48,43.537884
1468.320096325126,1468.320096325126,137753.06,43.521816
1468.3214852499964,1468.3214852499964,137774.66,43.522335
1468.3228741750997,1468.3228741750997,137696.23,43.517162
1468.3242630999707,1468.3242630999707,137690.77,43.50388
1468.3256520250739,1468.3256520250739,137760.83,43.54214
1468.327040949945,1468.327040949945,137706.69,43.511402
1468.328429875049,1468.328429875049,137693.25,43.518974
1468.3298187999185,1468.3298187999185,137831.05,43.516407
1468.3312077250225,1468.3312077250225,137794.12,43.538883
1468.3325966498935,1468.3325966498935,137744.02,43.53195
1468.333985574996,1468.333985574996,137726.06,43.50693
1468.3353744998672,1468.3353744998672,137742.03,43.511795
1468.336763424971,1468.336763424971,137822.25,43.56005
1468.3381523498415,1468.3381523498415,137820.11,43.538364
1468.339541274945,1468.339541274945,137780.62,43.521313
1468.3409301998154,1468.3409301998154,137753.72,43.517017
1468.3423191249187,1468.3423191249187,137719.7,43.513885
1468.3437080497897,1468.3437080497897,137748.9,43.53494
1468.3450969748928,1468.3450969748928,137693.6,43.515263
1468.3464858997634,1468.3464858997634,137736.94,43.523277
1468.347874824634,1468.347874824634,137706.3,43.504864
1468.3492637497375,1468.3492637497375,137708.89,43.49991
1468.3506526746087,1468.3506526746087,137666.1,43.508774
1468.3520415994785,1468.3520415994785,137754.92,43.516373
1468.353430524582,1468.353430524582,137751.34,43.51713
1468.3548194494533,1468.3548194494533,137756.06,43.513916
1468.3562083743232,1468.3562083743232,137771.64,43.522766
1468.3575972994267,1468.3575972994267,137760.81,43.520676
1468.358986224298,1468.358986224298,137774.2,43.511116
1468.3603751491682,1468.3603751491682,137676.98,43.50202
1468.3617640742723,1468.3617640742723,137678.95,43.504456
1468.3631529991426,1468.3631529991426,137750.14,43.522114
1468.3645419240129,1468.3645419240129,137727.38,43.51893
1468.365930849117,1468.365930849117,137652.95,43.49768
1468.3673197739872,1468.3673197739872,137619.48,43.494953
1468.3687086988575,1468.3687086988575,137695.73,43.5071
1468.3700976237287,1468.3700976237287,137771.02,43.531857
1468.3714865488323,1468.3714865488323,137798.33,43.51642
1468.3728754737026,1468.3728754737026,137718.03,43.508747
1468.3742643985731,1468.3742643985731,137763.3,43.558052
1468.375653323444,1468.375653323444,137737.2,43.51447
1468.3770422483144,1468.3770422483144,137721.02,43.512096
1468.378431173417,1468.378431173417,137800.05,43.51542
1468.3895425726155,1468.3895425726155,137787.42,43.519695
1468.3909314974858,1468.3909314974858,137669.08,43.504787
1468.392320422357,1468.392320422357,137680.28,43.49986
1468.3937093472273,1468.3937093472273,137751.14,43.52013
1468.3950982720976,1468.3950982720976,137777.1,43.513287
1468.3964871969688,1468.3964871969688,137729.95,43.51393
1468.39787612184,1468.39787612184,137691.67,43.536766
1468.3992650467103,1468.3992650467103,137711.78,43.51334
1468.4006539715806,1468.4006539715806,137726.77,43.50873
1468.4020428964518,1468.4020428964518,137743.89,43.48756
1468.403431821322,1468.403431821322,137671.94,43.53498
1468.404820746193,1468.404820746193,137687.73,43.48181
1468.406209671064,1468.406209671064,137723.52,43.525562
1468.407598595934,1468.407598595934,137775.86,43.516262
1468.4089875208047,1468.4089875208047,137708.7,43.505444
