time,time,flux,flux_err
1325.296754518489,1325.296754518489,1859.5913,7.0187182
1325.29814339663,1325.29814339663,1859.164,7.0137205
1325.29953227477,1325.29953227477,1875.8242,7.032257
1325.3009211529113,1325.3009211529113,1866.3223,7.020115
1325.3023100311686,1325.3023100311686,1876.3497,7.028908
1325.3036989093087,1325.3036989093087,1865.1627,7.0178213
1325.30508778745,1325.30508778745,1859.3271,7.02543
1325.306476665591,1325.306476665591,1868.8885,7.029544
1325.3078655438478,1325.3078655438478,1864.972,7.0220337
1325.3092544219892,1325.3092544219892,1866.9271,7.0349946
1325.3106433002458,1325.3106433002458,1866.2433,7.026587
1325.3120321783865,1325.3120321783865,1870.9027,7.0334215
1325.3134210566443,1325.3134210566443,1855.0121,7.0200343
1325.3148099347852,1325.3148099347852,1863.3032,7.034668
1325.316198813042,1325.316198813042,1867.4403,7.038255
1325.3175876912994,1325.3175876912994,1865.5411,7.038074
1325.3189765694408,1325.3189765694408,1863.5619,7.0380163
1325.3203654476981,1325.3203654476981,1879.6724,7.0519977
1325.3217543259545,1325.3217543259545,1866.1449,7.0418196
1325.3231432042123,1325.3231432042123,1859.8997,7.0355387
1325.3245320824697,1325.3245320824697,1875.2522,7.0525217
1325.325920960726,1325.325920960726,1867.5944,7.041516
1325.3273098389839,1325.3273098389839,1880.7666,7.059118
1325.3286987172407,1325.3286987172407,1865.4087,7.0472975
1325.3300875954974,1325.3300875954974,1878.1941,7.057636
1325.3314764738718,1325.3314764738718,1875.55,7.0651717
1325.3328653521296,1325.3328653521296,1859.8304,7.0507364
1325.3342542303865,1325.3342542303865,1873.2957,7.0593934
1325.3356431087602,1325.3356431087602,1863.2643,7.058614
1325.3370319870176,1325.3370319870176,1874.5967,7.067042
1325.3384208653908,1325.3384208653908,1870.9506,7.068093
1325.3398097436482,1325.3398097436482,1863.7266,7.061419
1325.3411986220215,1325.3411986220215,1867.1108,7.0690966
1325.3425875002788,1325.3425875002788,1862.717,7.0623984
1325.3439763786525,1325.3439763786525,1866.3679,7.070124
1325.3453652570267,1325.3453652570267,1864.7775,7.070382
1325.346754135401,1325.346754135401,1862.415,7.0706115
1325.3481430136574,1325.3481430136574,1869.3838,7.06768
1325.349531892031,1325.349531892031,1867.5995,7.078827
1325.3509207704053,1325.3509207704053,1871.7966,7.0879426
1325.3523096487781,1325.3523096487781,1858.3505,7.073106
1325.3536985271514,1325.3536985271514,1859.5621,7.079117
1325.3550874055259,1325.3550874055259,1864.3248,7.0826535
1325.3564762838994,1325.3564762838994,1861.6064,7.0861144
1325.3578651623895,1325.3578651623895,1868.3632,7.0937476
1325.3592540407628,1325.3592540407628,1867.7869,7.091633
1325.3606429191366,1325.3606429191366,1858.927,7.0845056
1325.3620317975103,1325.3620317975103,1873.8291,7.10222
1325.363420676,1325.363420676,1872.2173,7.1033754
1325.3648095543742,1325.3648095543742,1863.5243,7.1023254
1325.3661984328644,1325.3661984328644,1870.9625,7.1050334
1325.367587311238,1325.367587311238,1858.6426,7.1021614
1325.3689761897288,1325.3689761897288,1862.1199,7.1055555
1325.3703650681016,1325.3703650681016,1868.3026,7.11574
1325.3717539465913,1325.3717539465913,1878.4834,7.1266637
1325.3731428250821,1325.3731428250821,1850.9272,7.104551
1325.3745317034552,1325.3745317034552,1863.0001,7.1141934
1325.375920581945,1325.375920581945,1868.053,7.1192985
1325.3773094604355,1325.3773094604355,1861.7837,7.1240196
1325.3786983389257,1325.3786983389257,1867.6117,7.1280456
1325.3800872174156,1325.3800872174156,1875.8809,7.1465263
1325.3814760959056,1325.3814760959056,1861.8184,7.131103
1325.3828649743962,1325.3828649743962,1867.8541,7.1310964
1325.3842538528863,1325.3842538528863,1860.7783,7.127487
