time,time,flux,flux_err
1325.295430634464,1325.295430634464,167197.47,45.706383
1325.2968195306785,1325.2968195306785,167297.77,45.70468
1325.298208426921,1325.298208426921,167161.56,45.68198
1325.299597323165,1325.299597323165,167263.22,45.689774
1325.3009862194376,1325.3009862194376,167069.47,45.66558
1325.3023751156802,1325.3023751156802,167199.92,45.676624
1325.3037640119533,1325.3037640119533,167129.06,45.669987
1325.3051529082259,1325.3051529082259,167198.25,45.67735
1325.306541804498,1325.306541804498,167322.73,45.688766
1325.3079307008002,1325.3079307008002,167148.89,45.67397
1325.3093195971012,1325.3093195971012,167108.52,45.661716
1325.3107084934027,1325.3107084934027,167230.0,45.68894
1325.3120973897048,1325.3120973897048,167203.06,45.68873
1325.3134862860065,1325.3134862860065,167156.1,45.674385
1325.314875182337,1325.314875182337,167151.17,45.67834
1325.3162640786677,1325.3162640786677,167138.22,45.673225
1325.317652975028,1325.317652975028,167176.86,45.68249
1325.3190418713589,1325.3190418713589,167172.1,45.68292
1325.3204307677179,1325.3204307677179,167258.55,45.696133
1325.3218196640782,1325.3218196640782,167088.44,45.66654
1325.3232085604382,1325.3232085604382,167190.62,45.686424
1325.3245974568263,1325.3245974568263,167137.39,45.66867
1325.3259863532157,1325.3259863532157,167171.12,45.688343
1325.3273752496043,1325.3273752496043,167178.23,45.688713
1325.3287641459926,1325.3287641459926,167230.08,45.687256
1325.3301530423823,1325.3301530423823,167164.7,45.682034
1325.331541938801,1325.331541938801,167207.39,45.691067
1325.3329308352186,1325.3329308352186,167171.19,45.690163
1325.3343197316367,1325.3343197316367,167277.42,45.701847
1325.335708628084,1325.335708628084,167234.28,45.69764
1325.3370975245307,1325.3370975245307,167188.39,45.693745
1325.338486420978,1325.338486420978,167192.73,45.6979
1325.3398753174247,1325.3398753174247,167218.31,45.703396
1325.341264213872,1325.341264213872,167256.66,45.694786
1325.3426531103482,1325.3426531103482,167194.77,45.69404
1325.344042006825,1325.344042006825,167230.42,45.700356
1325.3454309033018,1325.3454309033018,167140.31,45.686592
1325.3468197997772,1325.3468197997772,167277.27,45.708427
1325.3482086962827,1325.3482086962827,167177.03,45.70295
1325.3495975927885,1325.3495975927885,167223.58,45.706078
1325.350986489293,1325.350986489293,167341.22,45.717716
1325.352375385798,1325.352375385798,167142.06,45.702103
1325.3537642823333,1325.3537642823333,167153.38,45.698387
1325.3551531788676,1325.3551531788676,167153.3,45.70497
1325.356542075402,1325.356542075402,167121.28,45.698936
1325.3579309719362,1325.3579309719362,167171.53,45.69887
1325.3593198684998,1325.3593198684998,167162.5,45.70145
1325.3607087650344,1325.3607087650344,167150.66,45.70843
1325.3620976615975,1325.3620976615975,167118.42,45.70272
1325.3634865581907,1325.3634865581907,167203.56,45.71554
1325.3648754547544,1325.3648754547544,167159.06,45.703094
