time,time,flux,flux_err
1410.9018516550207,1410.9018516550207,30247.17,21.312284
1410.9032405087612,1410.9032405087612,30187.137,21.302382
1410.9046293625013,1410.9046293625013,30191.566,21.305378
1410.9060182162418,1410.9060182162418,30198.164,21.30674
1410.9074070699824,1410.9074070699824,30190.732,21.312735
1410.9087959237224,1410.9087959237224,30201.018,21.310316
1410.910184777463,1410.910184777463,30185.143,21.30456
1410.9115736312035,1410.9115736312035,30211.041,21.312868
1410.9129624850023,1410.9129624850023,30180.893,21.311472
1410.9143513387437,1410.9143513387437,30213.865,21.307373
1410.9157401925424,1410.9157401925424,30194.053,21.303389
1410.9171290463412,1410.9171290463412,30188.992,21.304949
1410.91851790014,1410.91851790014,30170.875,21.298035
1410.919906753939,1410.919906753939,30181.47,21.306307
1410.9212956077379,1410.9212956077379,30208.979,21.315653
1410.9226844615357,1410.9226844615357,30164.346,21.30039
1410.9240733153347,1410.9240733153347,30198.37,21.31429
1410.9254621691337,1410.9254621691337,30192.93,21.30789
1410.9268510229897,1410.9268510229897,30219.742,21.309267
1410.9282398767884,1410.9282398767884,30202.576,21.314264
1410.9296287306456,1410.9296287306456,30244.1,21.32791
1410.9310175844437,1410.9310175844437,30196.584,21.298586
1410.9324064383015,1410.9324064383015,30212.494,21.317133
1410.9337952921592,1410.9337952921592,30197.24,21.312346
1410.9351841460164,1410.9351841460164,30167.201,21.305815
1410.9365729998733,1410.9365729998733,30178.24,21.306864
1410.9379618537293,1410.9379618537293,30197.662,21.311098
1410.9393507076447,1410.9393507076447,30212.09,21.312284
1410.940739561502,1410.940739561502,30204.361,21.305416
1410.9421284154162,1410.9421284154162,30192.75,21.310663
1410.9435172692733,1410.9435172692733,30192.006,21.305939
1410.9449061231887,1410.9449061231887,30202.604,21.300758
1410.946294977104,1410.946294977104,30200.941,21.305279
1410.9476838309608,1410.9476838309608,30194.076,21.31226
1410.9490726848753,1410.9490726848753,30210.785,21.296764
1410.9504615387912,1410.9504615387912,30190.008,21.310198
1410.9518503927654,1410.9518503927654,30162.252,21.307768
1410.95323924668,1410.95323924668,30182.549,21.302338
1410.9546281005953,1410.9546281005953,30218.21,21.309074
1410.9560169545687,1410.9560169545687,30199.54,21.312319
1410.9574058084838,1410.9574058084838,30222.287,21.314812
1410.960183516372,1410.960183516372,30181.082,21.305008
1410.9615723703453,1410.9615723703453,30189.7,21.284454
1410.9629612243186,1410.9629612243186,30153.396,21.284374
1410.9643500782915,1410.9643500782915,30219.984,21.30694
1410.965738932265,1410.965738932265,30215.168,21.249115
1410.9740720562224,1410.9740720562224,30225.29,21.25418
1410.9782386183167,1410.9782386183167,30265.223,21.268908
1410.9796274723483,1410.9796274723483,30197.764,21.29868
1410.9810163263799,1410.9810163263799,30193.21,21.305353
1410.982405180411,1410.982405180411,30215.83,21.304794
1410.9837940345008,1410.9837940345008,30220.277,21.322363
1410.9851828885332,1410.9851828885332,30187.05,21.303045
1410.9865717425648,1410.9865717425648,30174.16,21.277681
1410.9879605966546,1410.9879605966546,30189.895,21.29543
1410.9893494507444,1410.9893494507444,30221.55,21.298082
1410.990738304776,1410.990738304776,30196.95,21.283674
1410.992127158866,1410.992127158866,30246.756,21.301714
1410.9962937211349,1410.9962937211349,30166.535,21.2088
1411.0004602834617,1411.0004602834617,30204.227,21.31165
1411.00184913761,1411.00184913761,30230.932,21.274267
1411.0032379917004,1411.0032379917004,30239.252,21.308144
1411.0046268458484,1411.0046268458484,30227.32,21.302046
1411.0060156999966,1411.0060156999966,30221.877,21.304998
1411.0074045540866,1411.0074045540866,30218.111,21.307823
1411.0087934082337,1411.0087934082337,30249.342,21.31546
1411.0101822623817,1411.0101822623817,30187.576,21.285532
1411.01157111653,1411.01157111653,30246.451,21.301338
1411.0129599707363,1411.0129599707363,30201.307,21.290865
1411.0143488248843,1411.0143488248843,30159.46,21.291288
1411.0157376790316,1411.0157376790316,30182.326,21.289131
1411.017126533238,1411.017126533238,30213.123,21.307552
1411.018515387386,1411.018515387386,30238.646,21.321741
1411.0199042415923,1411.0199042415923,30247.014,21.300821
1411.0212930957991,1411.0212930957991,30209.518,21.297016
1411.0226819500056,1411.0226819500056,30243.854,21.303545
1411.0240708041536,1411.0240708041536,30211.629,21.306435
1411.0254596583598,1411.0254596583598,30199.277,21.304062
1411.0268485126237,1411.0268485126237,30209.223,21.27819
1411.02823736683,1411.02823736683,30159.152,21.273743
1411.029626221036,1411.029626221036,30213.205,21.295456
1411.0310150752416,1411.0310150752416,30203.348,21.250957
1411.0324039295062,1411.0324039295062,30239.715,21.30348
1411.0337927837124,1411.0337927837124,30208.656,21.300426
1411.0351816379768,1411.0351816379768,30210.568,21.289837
1411.0365704922413,1411.0365704922413,30226.457,21.305431
1411.0379593464475,1411.0379593464475,30187.242,21.302734
1411.0393482007128,1411.0393482007128,30270.895,21.277271
1411.0407370549772,1411.0407370549772,30212.242,21.303486
