time,time,flux,flux_err
1354.1099702352126,1354.1099702352126,23338.895,30.164255
1354.1113591555427,1354.1113591555427,23381.139,30.1799
1354.1141369962593,1354.1141369962593,23197.55,30.114248
1354.1155259166476,1354.1155259166476,23556.59,30.223171
1354.1169148370063,1354.1169148370063,23547.67,30.218372
1354.118303757394,1354.118303757394,23531.996,30.213127
1354.1196926777525,1354.1196926777525,23463.633,30.201462
1354.1210815981408,1354.1210815981408,23523.605,30.212452
1354.1224705185293,1354.1224705185293,23522.338,30.208025
1354.123859438946,1354.123859438946,23529.42,30.214838
1354.125248359334,1354.125248359334,23527.89,30.213327
1354.1266372797213,1354.1266372797213,23531.74,30.210232
1354.1280262001383,1354.1280262001383,23561.309,30.22066
1354.1294151205557,1354.1294151205557,23619.562,30.2275
1354.1308040409726,1354.1308040409726,23609.717,30.229755
1354.1321929613891,1354.1321929613891,23599.793,30.2258
1354.1335818818359,1354.1335818818359,23591.94,30.22519
1354.1349708022526,1354.1349708022526,23632.291,30.234995
1354.1363597226991,1354.1363597226991,23596.607,30.225145
1354.137748643116,1354.137748643116,23636.39,30.235247
1354.1391375635612,1354.1391375635612,23566.693,30.21389
1354.1405264840369,1354.1405264840369,23818.523,30.273808
1354.1419154044834,1354.1419154044834,23628.195,30.230667
1354.1433043249294,1354.1433043249294,23703.672,30.248203
1354.1446932454044,1354.1446932454044,23723.52,30.25518
1354.1460821658793,1354.1460821658793,23794.5,30.264639
1354.1474710863258,1354.1474710863258,23730.959,30.256025
1354.1488600068017,1354.1488600068017,23794.994,30.270939
1354.1502489273053,1354.1502489273053,23765.186,30.260267
1354.15163784778,1354.15163784778,23763.48,30.259447
1354.1530267682556,1354.1530267682556,23749.645,30.26124
1354.1544156887605,1354.1544156887605,23769.35,30.264484
1354.1558046092646,1354.1558046092646,23772.473,30.265633
1354.157193529768,1354.157193529768,23854.078,30.27889
1354.1585824502727,1354.1585824502727,23743.787,30.256376
1354.1599713707776,1354.1599713707776,23829.3,30.273066
1354.1613602912817,1354.1613602912817,23786.787,30.262707
1354.162749211815,1354.162749211815,23832.64,30.278744
1354.164138132348,1354.164138132348,23795.715,30.266977
1354.165527052853,1354.165527052853,23826.61,30.274225
1354.166915973387,1354.166915973387,23865.41,30.28151
1354.1683048939194,1354.1683048939194,23869.9,30.286251
1354.1696938144817,1354.1696938144817,23915.078,30.290163
1354.1710827350157,1354.1710827350157,23930.598,30.294432
1354.1724716555777,1354.1724716555777,24004.182,30.31231
1354.1738605761116,1354.1738605761116,23863.518,30.27992
1354.175249496674,1354.175249496674,23920.934,30.295712
1354.1766384172365,1354.1766384172365,23950.352,30.302984
1354.1780273377994,1354.1780273377994,24048.117,30.323822
1354.1794162583615,1354.1794162583615,23930.479,30.296793
1354.1808051789537,1354.1808051789537,23972.871,30.301903
1354.182194099516,1354.182194099516,23890.68,30.287058
1354.1835830201067,1354.1835830201067,23927.32,30.294762
1354.184971940699,1354.184971940699,23931.621,30.294573
1354.1863608612912,1354.1863608612912,23910.162,30.291872
1354.1877497818823,1354.1877497818823,24003.494,30.310156
1354.1891387024739,1354.1891387024739,23992.492,30.311148
1354.1905276230652,1354.1905276230652,23982.22,30.305584
1354.1919165436866,1354.1919165436866,23967.955,30.301758
1354.1933054643077,1354.1933054643077,24003.982,30.31631
1354.1946943848984,1354.1946943848984,23998.451,30.304295
1354.1960833055189,1354.1960833055189,24027.752,30.320257
1354.1974722261402,1354.1974722261402,23996.254,30.309387
1354.1988611467905,1354.1988611467905,24078.96,30.324274
1354.2002500674107,1354.2002500674107,24136.143,30.336575
1354.2016389880307,1354.2016389880307,24021.398,30.316975
1354.2030279086812,1354.2030279086812,24218.256,30.3553
1354.2044168293314,1354.2044168293314,24339.22,30.376877
1354.2058057499808,1354.2058057499808,24241.254,30.360397
1354.2071946706305,1354.2071946706305,24128.055,30.34144
1354.2085835912803,1354.2085835912803,23989.488,30.305801
1354.2099725119306,1354.2099725119306,24089.156,30.330708
1354.2113614325808,1354.2113614325808,23946.93,30.297567
1354.2127503532588,1354.2127503532588,24026.7,30.319147
1354.2141392739377,1354.2141392739377,23925.506,30.29508
1354.215528194588,1354.215528194588,23929.764,30.295918
1354.2169171152666,1354.2169171152666,23905.846,30.28986
1354.2183060359462,1354.2183060359462,23948.592,30.303131
1354.2196949566537,1354.2196949566537,23870.822,30.283897
1354.2210838773326,1354.2210838773326,23880.143,30.283667
1354.222472798012,1354.222472798012,23856.773,30.281647
1354.22386171872,1354.22386171872,23846.139,30.28245
1354.2252506394275,1354.2252506394275,23888.71,30.291155
1354.2266395601064,1354.2266395601064,23791.738,30.270473
1354.2280284808141,1354.2280284808141,23861.332,30.285042
1354.2294174015228,1354.2294174015228,23775.729,30.270218
1354.2308063222604,1354.2308063222604,23788.34,30.266779
1354.2321952429681,1354.2321952429681,23672.58,30.242252
1354.233584163676,1354.233584163676,23765.934,30.264282
1354.234973084413,1354.234973084413,23646.592,30.236292
1354.2363620051506,1354.2363620051506,23731.611,30.261623
1354.2377509258881,1354.2377509258881,23663.887,30.240118
1354.2391398465952,1354.2391398465952,23685.69,30.24331
1354.2405287673614,1354.2405287673614,23652.318,30.240002
1354.241917688099,1354.241917688099,23689.973,30.244778
1354.2433066088365,1354.2433066088365,23741.688,30.257284
1354.2446955296027,1354.2446955296027,23819.5,30.27707
1354.246084450339,1354.246084450339,23729.723,30.254734
1354.2474733711056,1354.2474733711056,23718.895,30.252388
1354.2488622918722,1354.2488622918722,23648.52,30.237286
1354.2502512126384,1354.2502512126384,23601.178,30.230965
1354.2516401334042,1354.2516401334042,23679.436,30.248625
1354.2530290541704,1354.2530290541704,23553.42,30.215416
1354.254417974937,1354.254417974937,23581.586,30.224257
1354.2558068957328,1354.2558068957328,23514.363,30.214575
1354.257195816498,1354.257195816498,23420.564,30.188446
1354.2585847372934,1354.2585847372934,23497.621,30.206526
1354.2599736580892,1354.2599736580892,23418.176,30.18661
1354.2613625788554,1354.2613625788554,23378.264,30.18172
1354.2627514996511,1354.2627514996511,23343.643,30.175068
1354.2641404204753,1354.2641404204753,23314.975,30.166447
1354.2655293412704,1354.2655293412704,23378.367,30.183327
1354.2669182620662,1354.2669182620662,23254.822,30.156551
1354.2683071828906,1354.2683071828906,23271.86,30.164219
1354.2696961036859,1354.2696961036859,23233.1,30.152918
1354.2710850245098,1354.2710850245098,23170.52,30.14147
1354.2724739453342,1354.2724739453342,23197.201,30.14975
1354.273862866159,1354.273862866159,23145.334,30.13414
1354.275251786984,1354.275251786984,23165.98,30.14074
1354.2766407078084,1354.2766407078084,23176.271,30.140402
1354.2780296286323,1354.2780296286323,23171.035,30.141266
1354.2794185494859,1354.2794185494859,23211.088,30.152922
1354.2808074703107,1354.2808074703107,23103.21,30.124458
1354.2821963911642,1354.2821963911642,23046.055,30.111708
1354.2835853119877,1354.2835853119877,23072.578,30.11739
1354.2849742328417,1354.2849742328417,22973.314,30.101955
1354.2863631536957,1354.2863631536957,22942.47,30.094923
1354.2877520745496,1354.2877520745496,22931.348,30.091982
1354.2891409954032,1354.2891409954032,22907.162,30.082584
1354.2905299162849,1354.2905299162849,22982.018,30.103186
1354.2919188371388,1354.2919188371388,22857.82,30.075926
1354.293307758022,1354.293307758022,22865.406,30.077423
1354.2946966788747,1354.2946966788747,22791.148,30.062857
1354.2960855997571,1354.2960855997571,22860.73,30.080893
1354.2974745206402,1354.2974745206402,22843.736,30.073902
1354.2988634415233,1354.2988634415233,22797.908,30.06825
1354.3002523624066,1354.3002523624066,22772.906,30.06083
1354.3016412832885,1354.3016412832885,22692.56,30.041395
1354.3030302041707,1354.3030302041707,22698.238,30.042654
1354.3044191250538,1354.3044191250538,22651.799,30.03654
1354.3058080459655,1354.3058080459655,22655.22,30.037394
1354.3071969668486,1354.3071969668486,22662.271,30.040682
