time,time,flux,flux_err,quality,centroid_col,centroid_row
2559.1401207859803,2559.1401207859803,1.0004251015360763,3.923450344585907e-05,0,824.7174662821363,997.5383313587299
2559.264758094786,2559.264758094786,0.9995958335119829,3.580311557368619e-05,0,824.5226257450438,997.5400963076625
2559.3750926908688,2559.3750926908688,0.999323180948168,3.5764136124957665e-05,0,824.281530904617,997.545267644044
2559.5058596162316,2559.5058596162316,1.001608162331142,3.573860166483348e-05,2048,824.5449606406786,997.5163983312802
2559.620280660344,2559.620280660344,1.0003028624821975,3.580802727144718e-05,0,824.6137120830538,997.504106420018
2559.7306152403603,2559.7306152403603,0.9993633972311471,3.5773219656264624e-05,0,824.3413121540088,997.5176077965258
2559.8450362076865,2559.8450362076865,1.0000128964574437,3.5691123595933605e-05,8192,824.1784548776811,997.526259415314
2560.0125812695856,2560.0125812695856,1.0011603283372246,3.5709041733140604e-05,0,824.5466040133254,997.4934680827555
2560.1310886749766,2560.1310886749766,0.9996136481489698,3.573202079492082e-05,0,824.3213368395964,997.5083244263384
2560.2659419830393,2560.2659419830393,1.000716864857593,3.571655651926717e-05,0,824.5897999624046,997.4841774073568
2560.376276404894,2560.376276404894,0.999753269112699,3.571669451501416e-05,0,824.336510737252,997.5008703055964
2560.511129567135,2560.511129567135,0.9999273093214376,3.567679167999716e-05,0,824.2503920716324,997.5041251245964
2560.70319322469,2560.70319322469,1.0019234934966121,3.557307065198644e-05,0,824.5027254408903,997.4799027331603
2560.846219285784,2560.846219285784,0.9998623169963409,3.5715991752262975e-05,0,824.535622007138,997.4737081017058
2560.9647265714766,2560.9647265714766,1.0000136848561214,3.564375441313419e-05,0,824.4816806410032,997.475222630053
2561.091406732812,2561.091406732812,1.0003182325078512,3.5708077391448804e-05,0,824.6955833060194,997.4591678224535
2561.2017410676344,2561.2017410676344,0.9999733336035337,3.5696012007670945e-05,0,824.5575538510966,997.4664095210146
2561.3161618016647,2561.3161618016647,0.9999705203404285,3.570270265331925e-05,0,824.5253598133291,997.4683160110695
2561.422409668013,2561.422409668013,0.9999709017998327,3.5621021521146834e-05,0,824.2838227037848,997.4841026155175
2561.540916861227,2561.540916861227,0.9998217034904131,3.56882474541415e-05,0,824.4674158824689,997.4713262909861
2561.643078221804,2561.643078221804,1.001217785306303,3.55504022766054e-05,2048,824.0950618276589,997.49703459806
2561.7656718319645,2561.7656718319645,0.999635372492128,3.566585868787347e-05,0,824.3970747728829,997.4747052181419
2561.900524774831,2561.900524774831,1.0008079142370587,3.555117164589765e-05,0,824.4359734337302,997.4706679845318
2562.051723482183,2562.051723482183,1.0002330114307676,3.5685017298173386e-05,0,824.7271326324986,997.4493620441426
2562.1579711820827,2562.1579711820827,0.9997001175785121,3.56674497513388e-05,0,824.4625797141082,997.4677723384837
2562.2764782766462,2562.2764782766462,0.9998029034168334,3.567453558624513e-05,0,824.5033535136857,997.464662972249
2562.378639535242,2562.378639535242,1.000874293503811,3.554651253688658e-05,2048,824.1169337231213,997.4942370655077
2562.5012330427476,2562.5012330427476,0.9998373163491348,3.5676075112365426e-05,0,824.5216235919419,997.4634187468773
2562.6156535932837,2562.6156535932837,1.0004779255163645,3.556472201119758e-05,0,824.2589529696697,997.4827685604948
2562.766852173301,2562.766852173301,0.9998933185559423,3.5673904430960025e-05,8192,824.4648955937603,997.4662747967523
2562.88127266323,2562.88127266323,1.0013179695122567,3.5558870168941894e-05,2048,824.2662138701953,997.4811822179294
2563.0120389602307,2563.0120389602307,1.0004245409766923,3.567079933367498e-05,0,824.8093116645734,997.4374068723176
2563.1142001177795,2563.1142001177795,0.9999579297678662,3.567560848434436e-05,8192,824.5117529129975,997.4599925773116
2563.2367935443062,2563.2367935443062,1.0004063490882718,3.5656458208064426e-05,0,824.8479444888666,997.4347890221104
2563.338954631216,2563.338954631216,0.9999380092924071,3.567526451303859e-05,0,824.5138207102034,997.4611847160202
2563.4574614774638,2563.4574614774638,0.999900254567225,3.5672499376712996e-05,0,824.5224724381002,997.4606459038862
2563.5637089973156,2563.5637089973156,0.9996317394330282,3.561179050742132e-05,0,824.2859919786704,997.4769320171847
2563.6985616363613,2563.6985616363613,1.000371729662339,3.5647641202823916e-05,0,824.519770166271,997.4596778457433
2563.808895544034,2563.808895544034,0.9994295305133761,3.5624230932146124e-05,0,824.3191322699716,997.4741032368071
2563.923315935454,2563.923315935454,1.0003919839339157,3.5589668615539095e-05,0,824.2952058685636,997.4755396086906
2564.0336498702513,2564.0336498702513,1.0011105120670274,3.550680762736976e-05,0,824.1193222657952,997.4883228124027
2564.2175396386533,2564.2175396386533,1.0003829605562076,3.5675389624982105e-05,0,824.772689928635,997.4391200999244
2564.319700632755,2564.319700632755,0.9997651830174007,3.565518947542027e-05,0,824.4240150142836,997.4632225589028
2564.4382073657093,2564.4382073657093,0.9998774411768316,3.565540345484117e-05,0,824.4423329549481,997.4614946016414
2564.5444547480975,2564.5444547480975,1.0008392937246153,3.5521301036085126e-05,0,824.1408494211412,997.4839285029142
2564.7079122505734,2564.7079122505734,1.000262964947365,3.567785219967134e-05,0,824.7471769514392,997.4369131239488
2564.810073179388,2564.810073179388,0.9997237789203774,3.562786596650063e-05,0,824.3434811035593,997.4678504775299
2564.9449255975223,2564.9449255975223,1.0004462381284154,3.5642923852413457e-05,0,824.6516027283755,997.4399856881562
2565.0552593250786,2565.0552593250786,0.9999394414101902,3.567608711919277e-05,0,824.5396419445572,997.4478196412426
2565.173765944317,2565.173765944317,1.00010572719154,3.5677171038542844e-05,0,824.6596507054024,997.4409170104952
