class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,StarGap
not,348998165,0.444947043,0.90164792,0.672957115,0.622931598,0.333333333,0,0.60164792
not,375273873,0.438713592,0.804865289,0.596172739,0.394428138,0,0,0.504865289
toi,259377017,0.601312886,0.187287471,0.174365929,0.008202874,0.666666667,0.02336849,0.112712529
not,231017428,0.502563989,0.186764321,0.253861949,0.012307937,0.333333333,0,0.113235679
not,146663593,0.493451015,0.166884646,0.242168897,0.010472015,0.333333333,0,0.133115354
not,25155713,0.609697705,0.65779231,0.451240251,0.163692947,0.333333333,0,0.35779231
not,286763141,0.515836275,0.191472665,0.239467014,0.01150018,0.666666667,0.082737045,0.108527335
toi,398943781,0.633241395,0.714098875,0.52697804,0.286410421,0,0,0.414098875
not,316935835,0.332270521,0.509285901,0.425685668,0.094510766,0,0,0.209285901
not,393385130,0.309852162,0.613392624,0.520777306,0.183446675,0.333333333,0,0.313392624
not,220478522,0.497098411,0.75250327,0.607221523,0.354675197,0.333333333,0,0.45250327
toi,439456714,0.737389673,0.222861627,0.278086858,0.019052197,0,0,0.077138373
not,364393429,0.462477935,0.830761182,0.685507797,0.539261531,0.333333333,0,0.530761182
not,300157969,0.502647838,0.452524196,0.386932648,0.066916616,0.333333333,0,0.152524196
toi,328350926,0.358903464,0.722992414,0.917597799,0.786669763,0.333333333,0,0.422992414
not,306829151,0.463184025,0.82893016,0.671743882,0.517770076,0.333333333,0,0.52893016
not,306573721,0.50332083,0.678263144,0.574400095,0.262275197,0.333333333,0,0.378263144
not,58462925,0.439548764,0.205074549,0.229358137,0.011443809,0.333333333,0,0.094925451
toi,278683844,0.466802736,0.605283809,0.484855162,0.181752435,0.666666667,0.100709462,0.305283809
toi,458478250,0.520656443,0.806173162,0.584597524,0.438547664,0.333333333,0,0.506173162
toi,14661418,0.820035305,0.49921266,0.466432155,0.122344833,0.333333333,0,0.19921266
not,394634714,0.442475728,0.541666231,0.431350907,0.107098781,0,0,0.241666231
toi,70899085,0.627217564,0.251896416,0.337101559,0.029146016,0.333333333,0,0.048103584
not,290543478,0.095355252,0.707046822,0.526658695,0.244677813,0.333333333,0,0.407046822
not,49934962,0.213669462,0.422882553,0.43886249,0.074520265,0.333333333,0,0.122882553
not,220411010,0.45440203,0.844101491,0.778780283,0.700866063,0.333333333,0,0.544101491
toi,307210830,0.481533539,0.160345279,0.132392265,0.005007646,0.333333333,0,0.139654721
not,20180572,0.328387026,0.758187287,0.579648372,0.332048365,0.333333333,0,0.458187287
toi,201793781,0.376919682,0.7574418,0.695304302,0.523489892,0.333333333,0,0.4574418
toi,98796344,0.418704766,0.148574418,0.105752047,0.003575807,0.333333333,0,0.151425582
toi,1133072,0.835966461,0.171331415,0.258875947,0.013617299,0.333333333,0,0.128668585
not,141768040,0.594715357,0.58462464,0.482863089,0.147884055,0.333333333,0,0.28462464
not,344081664,0.19804722,0.700442061,0.553644753,0.261859612,0.333333333,0,0.400442061
not,54003038,0.59701015,0.125032697,0.119271224,0.003173057,0.333333333,0,0.174967303
toi,229047362,0.680681818,0.763798064,0.524672201,0.325308973,0.333333333,0,0.463798064
not,231076815,0.416206973,0.77138373,0.942573657,0.821116686,0.333333333,0,0.47138373
toi,55652896,0.7201015,0.57801988,0.472359563,0.160144807,0.333333333,0,0.27801988
not,300939511,0.511948367,0.84070102,0.520144891,0.341430277,0.333333333,0,0.54070102
not,167169110,0.434421889,0.847240387,0.703120588,0.588271748,0.333333333,0,0.547240387
not,198076363,0.619770521,0.406251635,0.334191893,0.044976995,0.333333333,0,0.106251635
toi,160148385,0.757259488,0.717760921,0.691866809,0.465891913,0.333333333,0,0.417760921
not,392011927,0.531233451,0.75124248,0.668641075,0.418878315,0.333333333,0,0.45124248
not,7445600,0.455649823,0.234894062,0.284681544,0.018087218,0.666666667,0.088159343,0.065105938
not,238949177,0.107049868,0.788477635,0.703518026,0.506177646,0.333333333,0,0.488477635
toi,184952758,0.439883054,0.742087366,0.589974794,0.37600131,0.666666667,0.259457756,0.442087366
not,71094440,0.08521624,0.827949255,0.62576655,0.455712693,0,0,0.527949255
toi,370133522,0.559212268,0.188333769,0.185962062,0.009020293,0.333333333,0,0.111666231
not,31675050,0.514860989,0.560816113,0.450923695,0.122461402,0.333333333,0,0.260816113
toi,307210830,0.481533539,0.160345279,0.132392265,0.005007646,0.333333333,0,0.139654721
not,101534291,0.449890777,0.156683233,0.259420507,0.011103991,0.333333333,0,0.143316767
toi,170102285,0.740346425,0.583311535,0.53199901,0.199396313,0.333333333,0,0.283311535
not,177117623,0.593512798,0.65341355,0.509239742,0.198455462,0.333333333,0,0.35341355
not,262577790,0.445675199,0.671723777,0.529579517,0.223682256,0,0,0.371723777
not,382626661,0.510701677,0.635364897,0.478862211,0.169585387,0.333333333,0,0.335364897
not,349096321,0.66092233,0.464556631,0.350628406,0.05935767,0.666666667,1,0.164556631
not,41231040,0.862643425,0.115616008,0.096663959,0.002326272,0.333333333,0,0.184383992
not,167338863,0.696171668,0.171854564,0.225036519,0.009590914,0.333333333,0,0.128145436
