class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
not,165191701,0.702879510385917,0.113496175672341,0.0837091622125937,0.00284373490803731,0.333333333333333,0.00235841157345822,0.772428460007462,0.993436689464651,0.00466289035615885,0.222653206310135,0.216078697421981,0.246147210566346
not,350841387,0.448037975367913,0.589489267209474,0.68905922503443,0.449036626915863,0.333333333333333,0.369235287938726,0.46780235420599,0.999295258517355,0.666387933196245,0.819042716929443,0.43561736770692,1.0586546882964
not,238809626,0.338750662298202,0.687572168763878,0.395919599550328,0.229113956377944,0.333333333333333,0.326872565505249,0.16701734599268,0,0,0.302540294950965,0.570464721845319,0.894945577808336
not,350563576,0.366648284512494,0.859363434492968,0.605174104177868,0.756057756800641,0.333333333333333,0.312657027094017,0,0,0,0,0.806648575305292,1.20581409027467
not,140282069,0.261837566635309,0.700715519368369,0.433157853879572,0.276691854339028,0.333333333333333,0.370238483891992,0,0,0,0,0.58853459972863,0.938097082383011
not,393411975,0.460072879834777,0.721934369602763,0.477124513741738,0.346374557984846,0.333333333333333,0.0728247289396632,0.309664121988139,0,0,0.482433478668598,0.617706919945726,0.992204569694752
not,306741844,0.589937392545496,0.276831976313842,0.309884448073512,0.0380587865523729,0.333333333333333,0.401041941281102,0.292663623339226,0.997896857633383,0.000235679888408425,0.327891608610781,0.00576662143826323,0.572684892626443
not,25994436,0.245217936657259,0.440167776955342,0.336393250318422,0.080371522619372,0.333333333333333,0.129671501827662,0.102892565682778,0.996309382244112,0.00213621020624938,0.207681047027645,0.230325644504749,0.689343671139517
not,33879314,0.534726051837675,0.711339748334567,0.564295346008873,0.450145910718477,0.333333333333333,0.0612812932008954,0.231738440601841,0.997849990408039,0.0019457438208671,0.482791046228193,0.603141112618724,1.05930727343651
not,344136084,0.601474897546523,0.120157907722675,0.118637528068566,0.00456081319777776,0.333333333333333,0.163662940291196,0.528183893348457,0,0,0.223708663419234,0.206919945725916,0.295664177937699
not,307218050,0.722397032904056,0.166790032075006,0.141756538789968,0.0073105488277155,0.666666666666667,0.0386728100270077,0.466490703323551,0.996960362302932,0.00048943397093628,0.234866327139522,0.14280868385346,0.357813691994702
not,25153041,0.490662946983705,0.640140636565507,0.580534143739811,0.385485400030623,0.333333333333333,0.361401181212622,0.156811158055098,0.997299333682894,0.00719807389746734,0.407174154857866,0.505254409769335,1.01906767032726
not,279157165,0.48361285020707,0.738465334320257,0.639693049921077,0.60601817665998,0.333333333333333,0.366261644805752,0.194133595841541,0.997781720918422,0.00489670950971037,0.493700421739046,0.640434192672999,1.14098079010841
