class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
0,38759628,10.4964,3316,0.347011,0.0131171
0,260266504,5.8911,6042.05,1.56247,2.93125
0,344173871,8.4818,5335.76,0.880582,0.566264
0,150065945,10.3012,5482,0.737399,0.442441
1,259353953,10.0634,8035,1.66797,11.97859703
1,232025086,8.7542,6352,1.41788,3.380701849
0,220408612,7.7421,5545.71,1.19258,1.21199
0,219228930,11.1372,3300,0.367637,0.0144407
0,31799975,5.5696,6688.24,1.69396,5.17304
1,379929661,9.6129,7668.59,1.908,13.00483291
0,139770629,6.3224,5033.45,0.739237,0.316028
1,179159972,10.6124,6110,1.11378,1.785869135
0,150029272,8.7801,6026.7,1.13712,1.53683
0,375092128,7.1496,6588.79,1.46735,3.65582
1,406941612,10.4904,3482,0.426465,0.027616448
0,306470049,8.9006,6412,1.18686,2.14521
0,410253727,8.9658,4984,0.793526,0.35005
1,251852984,13.3547,4558,0.775641,0.2682284
0,287298969,7.8824,8467,1.62739,12.263
1,200723869,7.0286,6382.67,1.76557,5.343987154
1,150428135,10.9102,3494,0.419457,0.027086473
1,44792534,9.77919,5756,1.93283,4.23600454
0,391927456,7.8784,7843,1.66371,9.43584
0,388128620,8.3009,5665.9,1.20278,1.34321
0,260982587,10.7901,5282,0.68791,0.331858
0,281982207,6.6845,6689.31,1.6259,4.76878
0,259886044,7.8365,5916,0.998908,1.10118
0,306824150,10.7409,3832,0.598961,0.0696937
0,279160979,9.4786,5313,1.084,0.843553
0,290754629,8.1658,5998,1.07259,1.34148
0,167796443,7.8483,6063.08,1.39363,2.36464
0,260300455,8.9945,5727,0.905327,0.794354
0,349055189,10.4265,4639,0.751018,0.235339
1,262531275,13.0261,5608,1.75731,3.155111713
1,407126408,9.6181,4969,0.732535,0.337923743
0,150440176,8.2712,5812,1.5193,2.37294
1,102840239,9.36,4953.89,0.759387,0.358754793
0,38635641,11.0381,4275.5,0.644618,0.125097
0,167696090,9.0758,6420,1.36218,2.83988
1,389525208,10.0704,6149,2.57134,9.763891485
0,382626661,9.6768,5245,0.811062,0.448523
1,80275202,10.4989,8360,1.61377,13.13996914
1,130415266,7.3123,10416,1.81708,40.14559895
0,219144853,9.9548,5072,0.853256,0.434081
0,343813545,4.2164,5711.88,0.945495,0.857293
1,193413306,9.3529,7348,2.38732,17.16262936
0,157324520,5.8399,5563.6,0.915614,0.723674
0,176933645,11.6308,3615,0.494395,0.0376076
0,13985155,7.8134,5910,0.997711,1.09409
1,100608026,10.8835,3996,0.6194,0.101048595
1,279425357,11.6049,6083.61,1.1584,1.898665759
0,38815302,9.8891,5473.81,0.927816,0.696269
0,278409390,8.4514,6085,1.14821,1.62847
0,140898575,6.6979,5578.13,1.20795,1.27277
0,220436223,5.6883,6561.78,1.26873,2.68854
0,300559291,11.6485,3371,0.327244,0.0124587
0,176872276,11.5616,4290,0.523344,0.0835794
0,260046328,8.1121,5965,1.11244,1.41152
1,61538902,11.3743,5977,1.12783,1.67689654
0,38954437,12.951,3032,0.216949,0.00358366
1,118327550,10.3475,3407,0.407103,0.023066574
0,167719689,8.5349,6934,1.54059,4.94316
0,396742365,7.95655,3847,0.635458,0.0796814
0,220422429,10.1545,5181.62,0.780769,0.395915
0,375175035,10.5428,3812,0.574597,0.0628106
0,373983838,9.0066,6596,1.24093,2.62609
1,178819686,9.5275,5521,0.906761,0.789119207
0,231815113,12.9559,3028,0.195996,0.00290946
0,300037819,9.46831,3836,0.575857,0.0646902
1,380783252,9.7825,5188,0.943786,0.666550244
0,141912469,9.1362,6232.1,1.4031,2.67554
