class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,ImpactParam,Limb1,Limb2,CurveFit
0,167169110,8.9854,6055,1.13269,1.55371,1,0.0629892824385449,164.575252994172,0.0669345301745905,0.0629682079400083,1.58631381179081,0.01,0,0,-155.191596824335
1,167600516,10.6925,4316.7,0.651075,0.152039163,1,0.0231380471269131,143.491738039523,0.0236674755644968,0.0231296729818845,0.85141292970817,0.01,0,0,-33.2902631948917
0,396742364,9.55658,3461,0.39586,0.0202574,1,0.0561386401923901,222.958605054588,0.0570645921769504,0.0540313458908722,0.645281944161904,0.01,0,0,-16.2965283824402
0,29781292,8.9387,6315,1.41189,2.85619,1,0.0314808075572808,69.1393124638522,2.2172748595485e-06,2.1496036022225e-06,1.28161966947469,0.01,0.5,0.25,-0.632558636634111
1,161477033,10.0614,5286,0.879477,0.623797411,1,0.0665361384287369,237.660786072874,0.0709064876452034,0.0664829677029656,1.48012714833708,0.01,0,0,-26.4244714799557
0,77111228,9.3607,3461,0.426039,0.0234639,1,0.0565896629468447,197.249684571447,0.0285883886072134,0.0270572291304459,0.653210698108542,0.01,0.5,0.25,-8.9782406708162
0,279251651,10.5886,3726,0.555239,0.0535336,1,0.0807679013707438,107.089240548256,0.0807517428568816,0,0.627261534644584,0.01,0.5,0.25,-2.27454952607572
0,46029665,11.0234,3272,0.341725,0.0120587,1,0.811555894124366,3698.03948490152,0.851948306877803,0.0513374039476006,2.26860193246451,0.01,0.5,0.25,-9.37795538601437
0,314865991,7.6028,6638.94,1.2568,2.76453,1,0.0225184809056296,62.6006823914002,0.0225327760460434,0.0016363127144748,1.08555411824136,0.01,0,0,-56.6455547152079
0,89328464,8.2044,6047,1.06631,1.36969,2,0.0717827264865969,166.906086075993,0.076810062830326,0.0715339455984269,1.5038874744584,0.01,0,0,-77.3120597336944
0,140943185,10.9869,4492,0.639946,0.150224,1,0.0570239413731947,417.845679513259,7.46522197303821e-06,7.06249090568378e-06,1.42806199150912,0.01,0.5,0.25,0.0077447371785978
0,55661424,7.1444,8790,1.90295,19.4763,1,102.015607908078,131.33214649783,5913.44066600866,56.9662851998261,2.38072192814033,0.01,0,0,-522.68745973004
0,308183430,9.47246,3863,0.625641,0.0785315,1,0.0586295676896021,0,0,0,0,0,0,0,0
0,382099053,9.9317,5440.47,0.991692,0.776237,1,0.0631285879036114,108.356986250062,0.0631079318145483,3.06958361483742e-05,1.12694064323492,0.01,0,0,-25.074454754506
0,279674929,10.7908,3259,0.328588,0.0109733,1,0.0579599461879691,0,0,0,0,0,0,0,0
1,260043723,8.735,6358,1.55139,4.062655808,1,0.0158072726489497,0,0,0,0,0,0,0,0
0,31673724,8.5579,6038,0.969828,1.12631,1,0.0682223601419722,84.2616456228719,0.0681474487628551,4.21047394078573e-05,0.971863922084666,0.01,0,0,-21.4102303626116
0,183799419,7.7889,5762.7,0.905818,0.81523,1,0.0223564819802267,105.623352579758,0,0,1.01628775807462,0.01,0.5,0.25,-0.169050484529858
0,88478720,10.7958,3445,0.304287,0.0117495,1,0.0161680694869295,0,0,0,0,0,0,0,0
0,294092998,10.2409,5354.19,0.8662,0.555528,1,0.0665397918380663,644.568555519773,0.0709347660718178,0.0665092541456605,2.40075869542415,0.01,0,0,-641.496913726259
0,130824174,8.3274,5317.5,0.720705,0.374145,1,0.0175737828785292,0,0,0,0,0,0,0,0
