TICID,Period
150428135,0.07329462108720315 d
9033144,0.9447207261321025 d
206412735,0.06540087806365738 d
220039253,0.03033879379449588 d
237933451,142.82182862570232 d
150064391,8.97505253258966 d
30037565,0.06692683731282621 d
55603918,0.06838161128647983 d
261091639,0.015194820593381998 d
140658484,0.020141328573258174 d
220412945,0.0634733985040829 d
146463781,0.05697065030563004 d
294870118,0.013968727899446948 d
297025496,0.019606479125574432 d
293975288,0.732680308035973 d
350298298,0.06586508512229962 d
382258935,0.017148360450015176 d
178776121,0.06987585453373472 d
403121771,0.03044653904347794 d
259962054,0.0586953115551995 d
238176110,1.3937086077186223 d
306996324,0.019477444531988273 d
159510109,8.315397993812999 d
43866397,0.0170163658112497 d
382157798,0.037364512097899476 d
160301040,0.03524822172693963 d
141768040,0.06206410007322766 d
59605887,20.14464704260854 d
151956235,0.07338346568659117 d
300290733,0.06798454553575317 d
146249749,0.06753042210057476 d
278775329,4.7926807212020845 d
9727392,4.566238771702312 d
160074939,0.017268503909790088 d
143047975,0.06892179439264368 d
279949279,0.06303943623649384 d
177307808,0.06950648365185719 d
72985822,0.08050962168059433 d
219345200,31.65402265783223 d
307216840,0.06324641466198815 d
289113766,0.07308807722799439 d
339730183,0.05977652232668728 d
7445600,0.05423005156359525 d
141611276,0.05832798761764675 d
183120439,0.06834216593401156 d
167754523,0.07467421680423851 d
349373192,0.017163349404267402 d
328324098,0.06950645253888477 d
150151262,0.07414683052017527 d
219221189,0.06015018303231045 d
52204645,0.07156247030629269 d
382268851,0.015998862098173264 d
41231040,0.014581846066458785 d
377064495,0.016154360594098045 d
60178082,0.01676889541544701 d
294205605,0.031064449908645608 d
380589029,0.12254055569729772 d
200593988,0.07124584228706818 d
349304574,6.801044043806871 d
55383975,1.1444081021955879 d
280313260,0.06260636231490643 d
280793604,0.01699654978582638 d
55298271,0.03767392448085725 d
232048034,0.035466007660958615 d
33521996,1.6742890721241808 d
177237464,0.01782110759569739 d
58462925,0.0803346654448936 d
177036977,0.0716983522232455 d
234334027,0.06664183694426108 d
355703913,0.07520013129394489 d
32873869,0.06392293335821077 d
134200185,0.07830298206135897 d
25080867,0.03472956446940211 d
269885278,0.014116999899030638 d
123702439,0.013933282791739537 d
246897668,0.4650087169201373 d
230982885,1.0338513242642944 d
358071115,0.057156180657283825 d
38679565,0.01683567931452674 d
231081369,0.06043975488869468 d
261207354,0.056114220978489567 d
294874474,0.057921215722450195 d
451599528,38.26261571275609 d
379240073,0.07442344072586088 d
293970254,218.82662485569728 d
166675170,0.07126845418390428 d
309792357,3.8393043566352625 d
306996324,0.019477444531988273 d
279356932,0.06426625146747122 d
444385201,0.0638983242247018 d
38686737,13.136183015645429 d
74534430,0.06972676330659594 d
261137158,0.06777175543380598 d
178155732,0.05865456488845719 d
150360085,0.06733705204505835 d
259377017,0.10484074220196628 d
394700874,0.06446776921674506 d
358460382,0.023216331188117157 d
356209404,0.021406939048202442 d
278727563,0.015479362798396913 d
206542524,0.02727424598728359 d
33105293,0.033103889529495424 d
38603673,0.07789505649613448 d
234523599,0.0903739597893168 d
32001057,0.02280406366832061 d
279251651,0.08076790137074381 d
63974991,0.022584152838512502 d
167888770,0.06721031306787023 d
40719527,0.056661854066758 d
266997586,0.07899454897186042 d
453976070,0.03205931983953682 d
370133522,0.06476162550293525 d
332710428,0.05511360603727951 d
350332997,0.02890980540869032 d
260947637,0.05539608146738973 d
101011575,0.06398685912284224 d
219410598,0.06328607613040489 d
154840461,0.08037194159578642 d
375058105,0.06596477429150717 d
306472057,0.08297385875033637 d
178872239,0.06408140580312881 d
270507305,0.09449537482520251 d
98796344,0.056733018970223724 d
134200185,0.07830298206135897 d
155897369,0.07219174156966651 d
66437824,0.06108615279124248 d
177313167,0.2995426308143432 d
235048515,0.030031966481228155 d
79564094,0.03162380469644598 d
149631289,0.07413156252042168 d
234994474,0.07775280416351435 d
279429722,0.06252188767825997 d
383390264,0.0713425171560858 d
260353507,0.08327133395214854 d
77044471,0.0634925681804127 d
142085842,0.06448524713837266 d
50312495,0.03259581404041977 d
231055581,0.032847901820390255 d
328350926,0.09427601971890164 d
38696105,0.01655205667552028 d
262498404,0.020209494926237966 d
44568897,0.0749108300743668 d
234517584,0.06376918267296885 d
160148385,3.424593549464248 d
238932509,0.06593301394702979 d
50587969,0.022415548077641533 d
55404385,1.4756267175403153 d
231098372,0.07548738466196873 d
425934411,0.07110968006640285 d
231076815,0.06480120641181474 d
141024799,0.031895609991948966 d
167309586,16.22976291169208 d
270468559,0.01700129998192092 d
376935746,0.0646545466647052 d
122613513,0.07171207303764604 d
73228647,0.035508934635996005 d
28796187,0.05878032453443858 d
279246287,0.01695059658875628 d
350344317,0.0628009208400344 d
260004324,0.02046510274926164 d
255548143,0.04861071090617096 d
398733009,0.10226333979411295 d
300704414,0.03176784965898343 d
149302552,0.05874553127742976 d
52280468,0.569144823353635 d
294208421,0.021804897887684076 d
1003831,0.06604559853627474 d
286132427,0.034551878764145644 d
14661418,0.39311573640094505 d
201287746,0.06323032413394637 d
206592394,0.06781419672653113 d
452465896,0.058210462360938194 d
333606239,0.03190383534090612 d
382200572,7.318531153382014 d
300867814,0.017170226661854013 d
149218497,0.07473685381615593 d
176958231,36.39885921266197 d
55295368,0.06821178820332878 d
206402844,0.05694654774320148 d
425997655,0.06856995209960541 d
102195674,4.400156098770574 d
31012605,0.05620253384630758 d
207084429,0.06891100431840898 d
44647437,0.9280273263906803 d
269849487,0.05940528840780453 d
349643650,0.057142596300878166 d
272088966,0.022340363633582806 d
141621885,0.029989480876398827 d
177117623,0.01776262882443829 d
9210746,0.21657714289962524 d
55559618,0.058639287540392694 d
257721857,0.07446460125301416 d
260949184,0.06303945798498312 d
287329624,0.06364046021075907 d
306829151,0.021488371848237972 d
170274241,0.066354570976219 d
38583513,0.06382813530266133 d
142149242,0.022983154525986503 d
260843977,0.061382004129176 d
238194217,0.05944977986142231 d
349274787,102.0158599391269 d
140477186,0.061764735156490405 d
271596225,0.09731666264599693 d
61988212,0.07929848375946769 d
349683816,0.061614293631350237 d
286864983,0.07886364577232534 d
220475245,0.13042928104259255 d
38468952,3.336958714799923 d
167656187,0.06912514282658848 d
291466351,0.06687299033985993 d
272129477,0.01407223675941061 d
391904670,0.06483065300590715 d
410486078,0.021907688432109315 d
31814908,0.019815351335423618 d
306573721,714.111137644144 d
229811538,3.825051636115194 d
149422364,0.03290529499934735 d
190990336,5.436790332417533 d
362249359,0.06944371442523077 d
434486077,0.020008533251381147 d
176954932,0.053902788332442636 d
351601843,0.06721092748880621 d
151517553,0.07891846102778659 d
349096321,0.061977920752869155 d
55367907,0.016711345739392095 d
150301109,0.05727997341918517 d
67655714,0.028215495786581987 d
262498136,0.022264146565608812 d
158067487,0.016120571148799775 d
220407807,0.07983332567118816 d
293218142,0.021206132310279457 d
294395926,0.03150359969979816 d
309755442,0.014019211898656929 d
32550424,0.06653228913058576 d
219223742,0.016718015933195697 d
33878688,0.015046552279671693 d
176957796,12.528262010586548 d
220421191,0.02274305248435719 d
114550378,0.06383304845605663 d
101395259,1.8929488976529716 d
364588501,714.1109196470265 d
364537524,0.05940022283781879 d
38583537,0.06697703816111361 d
31675050,0.05650045524191381 d
177117281,0.06588692626299975 d
30848801,0.07092861884459867 d
348839628,24.624463108066326 d
150358147,0.023433400541652633 d
151006728,0.0652822676305676 d
54003038,0.06973871461039743 d
388130597,0.01756683129582964 d
458478250,2.2523583305464343 d
394657039,3.7906733398598287 d
50618703,0.06728129497343947 d
154872375,0.06865521246189081 d
167303382,0.07360450662650897 d
141185142,0.05369244210626009 d
170102285,2.902160146227318 d
319289907,0.06872747471974447 d
259592855,0.032578834705372726 d
294054503,0.07150391221068085 d
141028962,0.0231492966356153 d
184952758,0.06758648407257867 d
249076418,0.019626811971247875 d
300384626,714.1110644937326 d
167042097,0.06952677803285764 d
260271203,1.1299198970950848 d
153742066,0.014048060811788816 d
120454069,0.27906351387726036 d
188043641,0.060287772008551184 d
170867837,0.07518234823468711 d
160004049,2.8268219943948276 d
362253884,0.06250760243735357 d
382246984,0.05851914945633396 d
150185581,0.0683906078778012 d
382259669,0.04477173714806594 d
219394387,158.2704890641994 d
272003260,0.06988058729065372 d
1252178,0.06560184544031336 d
388934726,0.07518333812570954 d
234298029,0.05259306198819311 d
41029088,0.03274529908612027 d
55556732,0.06307827833035946 d
207148580,0.06516238966260528 d
220432478,0.015192841503790317 d
164767175,0.05352487945845777 d
306470369,0.05133048728582952 d
394634714,0.01409207341054242 d
260995123,0.0745885691356508 d
179013510,0.06323340355574354 d
234299476,0.027722030060979643 d
282501711,0.08031655817294919 d
150144415,0.0682193746077842 d
220389494,0.023147782203235462 d
231801885,0.059638333330736294 d
358510502,0.0680353500932746 d
350655701,0.023904039844321347 d
302047241,0.06257112440851244 d
149010208,1.7123240260116004 d
29960109,0.03342889405387287 d
201793781,104.1940057613674 d
281582749,0.016188191675206968 d
201604954,0.15794339218068293 d
234112540,0.06585845612649921 d
150272656,0.059350849767488084 d
219234564,0.06792337810474022 d
279361150,0.06851909351273625 d
167167306,0.0656471335480142 d
37749396,0.0642111454446181 d
229098638,13.024234928494081 d
355406799,1.1857574842201057 d
177161030,0.06092045727713886 d
267324071,0.0674579055632471 d
364393429,0.06127605125929422 d
36734222,0.814650502131387 d
1133072,0.023574385217126032 d
260269838,0.06288308432498554 d
7723060,0.06300411987358814 d
55606252,0.06724838788397745 d
270341214,7.4386548082828625 d
344081664,0.03990388180592275 d
389020089,0.07296906792449954 d
150360766,0.11121467844026509 d
177115354,0.014915895341489212 d
349767833,0.074666566238414 d
181015118,0.13784821624347499 d
238633709,0.057881517200745254 d
149788158,0.057692784159820404 d
278901225,0.06137524233830304 d
37300889,0.07066850441156197 d
112603237,0.06670659037871791 d
287196418,0.10866938594777097 d
468889408,0.0669715636205498 d
140142136,0.019137503374297406 d
309616959,0.06559541382221065 d
260420061,0.014766224897970973 d
358176584,0.7524879459634103 d
179517557,0.06368584775148599 d
271800108,0.051341555812693986 d
425997655,0.06856995209960541 d
158382161,0.01534020179925664 d
317548889,0.022543510362861757 d
21505943,0.015439527170315529 d
260472324,15.193816629434423 d
238135340,0.0631996105992002 d
38570936,714.1091457403709 d
260046359,714.1092964099184 d
309257814,0.08256797682315367 d
150299548,0.060089988684843436 d
53593457,0.07255396213370205 d
348770361,0.07782561109720533 d
72748794,0.07732552836899731 d
60552999,0.0644836199278995 d
290348383,0.015768216044298764 d
260266502,17.852734613926042 d
201292718,0.07565513929493262 d
358403148,0.017435190977258264 d
259377017,0.10484074220196628 d
234507537,0.019084216934187007 d
206686962,0.05841468369608692 d
394698182,0.21823675273148474 d
50309953,0.06082197217401241 d
453099619,0.0501235149478374 d
326453034,0.058664689149186974 d
370038641,0.055685381538184614 d
40602927,0.07308456838078861 d
220616718,0.03439954247766595 d
117546088,0.021856695509495278 d
397125777,0.031776690184961126 d
375090431,0.055546786000114784 d
382265694,0.0632740243672794 d
38698083,0.05874057804235973 d
19519368,0.06081659597618309 d
259698709,0.05273906749443094 d
33153766,0.0763368434073703 d
281669975,0.03660230569728461 d
290468468,0.05068938757085515 d
350618622,8.816163420634181 d
120610833,0.09193669987750609 d
300329283,0.02981544307317769 d
220478211,0.06732422757540957 d
393414358,4.3461710644947456 d
149478846,0.062123595093664885 d
71512186,0.059146221905113865 d
158072072,0.0612695783505203 d
100104021,0.06674831186094629 d
176932113,0.06714093183317094 d
358049328,0.06038188863822652 d
350520348,0.07270507993838131 d
349677687,0.06324591770833597 d
72923291,0.06934337817479501 d
271595974,0.06646590338638031 d
176935123,0.01732224939243396 d
123482865,0.01403030388632375 d
41533357,0.017337384497099803 d
70899085,0.09876930677743055 d
30186108,0.07122574426003243 d
54257694,0.03466661641415293 d
101955023,0.07401877269035549 d
229047362,0.7522177692079284 d
269634384,0.032501649032573826 d
370137704,0.06687055482926355 d
307218058,0.06152086242431122 d
278199738,1.3992262384868837 d
442916792,0.021028855871710876 d
167006493,0.05469588738815308 d
393385130,0.05840917578960674 d
271893367,5.8728180534609 d
158624542,14.884823116485872 d
263003176,0.021209075310458774 d
149424264,0.033976081888644157 d
23556171,0.05918025223871614 d
389444166,0.014656215727347072 d
237878575,0.017718682952850093 d
350656478,0.03311273582319194 d
92352620,3.9799945709712246 d
231079905,0.017611889824968814 d
54237857,0.017160866518547837 d
350518799,0.05674288757781159 d
272129171,0.03185714343245305 d
316976676,0.06833470146731124 d
287405060,0.06868380208911727 d
300810872,0.014174468535080864 d
46825125,0.01690247023975777 d
148228019,2.5842320722589576 d
141186075,0.05813477686215786 d
370101728,0.06560861035280743 d
271891360,0.06557481128275894 d
316935835,0.07268451169531576 d
131081852,7.092305508788027 d
437265653,0.06693115245855114 d
31410749,0.02297912921518122 d
88481300,0.016430256259869193 d
282086296,92.30812579792303 d
350583319,0.022609127761884264 d
278683844,0.016097685870818234 d
348898049,0.49902835490091635 d
149444341,0.014722414603500118 d
20180572,0.03310875988311589 d
436248822,0.059631671779240225 d
141029787,0.07505773253703127 d
55452503,14.877275454573937 d
251848941,0.061429010939425724 d
177385959,0.054532999312576186 d
300710088,0.016553340302049385 d
300038122,714.1096231225588 d
260351540,1.4426452141331336 d
370281600,0.06882509488279068 d
176982916,0.06848657890742367 d
55758485,2.3646002473666257 d
289535142,0.06881287985688826 d
125405602,0.020218428933929892 d
398271125,0.02337759654630548 d
288158059,0.03353901128677629 d
238004786,0.061922382333133845 d
306669607,0.16087207687238042 d
253990973,0.016520426364065043 d
350335082,0.015219071209431383 d
339672028,1.147863878634457 d
300510333,0.06582262719633158 d
279327066,0.05497902883810763 d
306735585,0.06324745913705197 d
300939511,0.06488367577672612 d
259592689,69.39289838002121 d
251823163,0.016158805242547647 d
167338863,0.06530209158855739 d
278521477,0.05862399980892897 d
219238878,0.0321164391665588 d
360156606,0.06834884571371028 d
271596225,0.09731666264599693 d
349965094,0.06357826550099074 d
439456714,0.016252640816702555 d
294667668,0.017503535746560127 d
179040880,0.03689905493601444 d
291471120,0.06467776220823362 d
139898417,0.07918757052309967 d
231728511,0.05759551090598942 d
326197647,0.06545652798122055 d
373985178,0.06937155773306149 d
272233699,0.05364003127369069 d
274012205,0.014449223872415326 d
66818296,1.8696690746091582 d
9964140,0.06822435598425884 d
437333618,0.014807215721178423 d
293936312,0.01415928830514954 d
399618009,0.07815233811699958 d
300157969,0.01948351087615167 d
271596225,0.09731666264599693 d
1528696,0.07349087594804421 d
167892002,0.01749282411075645 d
260416268,238.03645837470717 d
140894185,0.05952907819426185 d
78012819,0.07228652669645201 d
382159772,0.06477780965334522 d
167343765,0.021082306727422128 d
197907719,0.015861846025328644 d
167123841,0.13523860381738181 d
309703910,0.062064078777202984 d
201881092,0.02151875988361846 d
149218100,0.02472168694531384 d
19193730,0.06781757209656095 d
391039604,0.05545356071616179 d
148337392,0.0659425977238199 d
141407201,0.0325245702206399 d
219147916,0.06512761898480783 d
349275562,8.603747227926453 d
207241048,0.06431795833741152 d
140760006,0.06667065987566459 d
177236338,0.01707378315361358 d
279055830,0.06605409920327417 d
441462736,0.027548517153719792 d
272544968,0.060043243675888654 d
349156098,0.15018078091579437 d
38708042,0.014642475061988779 d
144370079,0.02230984521758792 d
131799991,0.10669890046726856 d
121338379,0.06877195620204853 d
364393161,0.060425715069987625 d
237915249,199.0590284647959 d
38843695,0.07731622605003781 d
394134589,0.06099412730301686 d
267263253,1.0323715219150875 d
299799658,0.06965575434617292 d
7244844,0.01406866986054101 d
114308371,0.02210491862533664 d
271946648,0.07146401312736606 d
261156988,0.06156116969062854 d
80677028,0.07169928941199509 d
149302744,0.015063083944357503 d
55650481,0.061481636621074934 d
286757549,0.015874533521279124 d
294208238,0.06164146877831348 d
