class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,343813545,4.2164,5711.88,0.945495,0.857293,1,0
not,177307808,10.3578,4330.9,0.562639,0.100338,1,0
not,49934962,6.9845,4432.68,0.753695,0.197584,1,0
not,141479310,8.5881,7236,1.59647,6.29522,1,0
not,234339269,9.0624,4891,0.780521,0.31409,2,31675.5175
toi,455135327,9.93908,6338,1.34004,2.993163386,1,0
not,279245231,9.1129,6092,1.27099,2.00456,1,0
toi,261257684,10.846,3751,0.532439,0.05797142,1,0
not,294927550,12.8149,3353,0.310175,0.0109558,1,0
toi,146463781,14.7034,3478,0.379815,0.021804619,1,0
not,300291282,9.5541,6639,1.13787,2.26616,1,0
toi,279425357,11.6049,6083.61,1.1584,1.898665759,1,0
not,219150432,12.3188,3339,0.279435,0.00874424,0,0
not,201874446,8.915,5376,0.788104,0.467411,1,0
not,391892842,8.0914,7241,1.82507,8.2499,2,16401.88237
toi,294301883,11.3473,6070,1.09036,1.667172533,0,0
not,260191777,9.4676,5603,0.950003,0.801359,1,0
not,375063320,7.4149,6238,1.34407,2.46445,1,0
not,179583882,9.4798,5463.55,0.847925,0.577178,1,0
not,100103200,8.69367,3850,0.517124,0.0529331,1,0
not,178351350,8.4665,4329,0.674102,0.143779,2,41758.60461
not,237933451,8.0019,5128.82,0.753882,0.3543,1,0
not,201882747,9.4364,4499,0.70583,0.183891,1,0
toi,219345200,8.3643,5709.6,1.4981,2.463714068,1,0
not,302964354,8.2983,4755,0.700013,0.225688,1,0
not,177309385,7.159,6338.36,1.22975,2.19906,1,0
not,140898575,6.6979,5578.13,1.20795,1.27277,1,0
not,122574885,9.50892,3458,0.296416,0.0113187,1,0
not,220412945,6.9248,5385.09,0.90973,0.627035,1,0
toi,259377017,10.4981,3532,0.374358,0.022529055,1,0
toi,327017634,8.386,4827,28.3379,450.329588,2,25362.84262
not,257720478,8.8919,5909.88,0.83644,0.768916,1,0
not,349945315,9.5485,4635.5,0.74621,0.231634,1,0
toi,178819686,9.5275,5521,0.906761,0.789119207,1,0
not,237924298,8.8776,5337.44,0.77627,0.440608,1,0
toi,257567854,11.185,6153,1.19109,2.100500443,1,0
toi,300871545,10.0433,6674,1.44956,4.306288898,1,0
toi,9804616,14.1118,3323,0.603855,0.045927484,0,0
toi,259377017,10.4981,3532,0.374358,0.022529055,0,0
not,176872276,11.5616,4290,0.523344,0.0835794,1,0
not,38584697,9.608,5165.36,0.781756,0.391958,1,0
not,289113766,12.3016,2816,0.12437,0.000876308,2,19039.49533
not,219228930,11.1372,3300,0.367637,0.0144407,1,0
not,220433363,8.7057,3410,0.427535,0.0222667,1,0
not,140943185,10.9869,4492,0.639946,0.150224,1,0
toi,380886535,11.7952,5829.55,1.51595,2.74154792,1,0
not,167895487,9.6321,5716,0.832238,0.66613,1,0
not,141611276,8.3874,6033,1.03757,1.28488,1,0
toi,30037565,9.597,5914,1.55953,3.073255787,1,0
not,220436223,5.6883,6561.78,1.26873,2.68854,1,0
toi,218795833,14.4347,3324,0.355309,0.015919977,1,0
not,101955023,10.8372,3261,0.226407,0.00522249,1,0
not,150389853,9.0075,5973,1.21476,1.69218,1,0
not,164752884,7.4971,5276,0.812086,0.460382,0,0
not,306470049,8.9006,6412,1.18686,2.14521,1,0
not,38583375,7.5982,6441.44,1.25657,2.44906,1,0
not,177349900,7.9833,6037,1.61337,3.11491,1,0
toi,201248411,9.9005,4486,0.764401,0.244436204,0,0
not,141912469,9.1362,6232.1,1.4031,2.67554,1,0
toi,260043723,8.735,6358,1.55139,4.062655808,1,0
not,294874367,9.7898,5597.22,0.946111,0.791532,1,0
